date,1978,1973,1968,1963,1958,1953,1948,1943
27,-0.0799761,-0.1042841,-0.10034835,-0.0964126,-0.13290375,-0.1693949,-0.1738331,-0.1782713
32,-0.1454458,-0.1626242,-0.1675235,-0.187722,-0.2079205,-0.25599805,-0.3040756,-0.37118865
37,,-0.2468176,-0.2552377,-0.2785098,-0.29076885,-0.3030279,-0.40430995,-0.505592
42,,,-0.3144203,-0.3206878,-0.3426255,-0.35983185,-0.3770382,-0.49142125
47,,,,-0.3465831,-0.3578173,-0.339329,-0.39524375,-0.4511585
52,,,,,-0.343576,-0.3160232,-0.3400338,-0.4095042
57,,,,,,-0.3029979,-0.3020911,-0.3774882
62,,,,,,,-0.2758422,-0.2903264
