label,amt
Hillary Clinton, 2982145
Joe Biden, 752782
Rand Paul, 552435
Chris Christie*, 512293
Ted Cruz*, 412980
Ben Carson, 305158
Rick Perry*, 277606
Bernie Sanders, 274623
Rick Santorum, 227390
Bobby Jindal, 177897
Jeb Bush, 169091
Elizabeth Warren*, 167137
Scott Walker, 108232
Martin O'Malley, 59451
Jim Webb, 5725
