time,Fasted with nothing but beer,Fasted with yeast and yogurt,Fasted with water
0.00,0,0,0
0.58,0.044333333,0.045,0.047
1.33,0.085666667,0.082,0.060333333
2.00,0.072666667,0.072,0.055333333
3.00,0.042,0.044333333,0.025733333
4.00,0.006,0.025,0.006
