date,Infections,Forecast: No change,Forecast: Improved
7/13/14,972,,
7/20/14,1093,,
7/27/14,1322,,
8/3/14,1667,,
8/10/14,1898,,
8/17/14,2347,,
8/24/14,2900,,
8/31/14,3685,,
9/7/14,4366,4366,4366
9/14/14,,5306,5095
9/21/14,,6501,5681
9/28/14,,8029,6215
10/5/14,,9982,6726
10/12/14,,12470,7233
10/19/14,,15602,7750
