date,Bachelor's degree or more,Two-year college/some college,High school graduate
1/1/1965,38833,33655,31384
1/1/1979,41989,36498,32299
1/1/1986,44770,34595,30525
1/1/1995,43663,32173,27883
1/1/2013,45500,30000,28000
