time,Fasted with nothing but beer,Fasted with yeast and yogurt,Fasted with water
0.00,0,0,0
0.58,0.056,0.04166,0.037
1.33,0.07566667,0.069666667,0.06866667
2.00,0.0656667,0.06433333,0.05733333
3.00,0.04633333,0.05533333,0.04033333
4.00,0.03766667,0.042333333,0.02633333
