category,men,women
Professional degree,100064,67428
Doctorate degree,91742,67057
Master's degree,71364,49703
Bachelor's degree,56656,37285
Associate degree,41731,27159
Some college,37062,22469
High school diploma,31064,18213
Some high school,19780,11981
Less than high school,18002,10841
