label,amt
Literacy,74735627.18
Mathematics,37679171.73
Literature and writing,32387866.84
Applied sciences,18636244.2
Special needs,16329604.18
Environmental science,14526260.27
Visual arts,13498666.86
Health and life science,11640268.39
Music,10151527.64
History and geography,7263081.7
Early development,5159559.68
