type,cut,price_2013,price_2014,value_2013,value_2014
pork,"Bacon, sliced",5.494,6.009,2.730251183,2.496255617
pork,Pork chops (all),3.508,4.387,4.275940707,3.41919307
pork,Ham (not canned or sliced),2.837,3.125,5.287275291,4.8
beef,Ground beef,3.459,3.884,4.336513443,3.86199794
beef,"Chuck roast (USDA choice, boneless)",4.521,5.133,3.317850033,2.92226768
beef,Sirloin steak (USDA choice boneless),6.680,7.87,2.245508982,1.905972046
