domain,total
Texas,80000
Colorado,70000
Alabama,50000
Federal,50000
Florida,50000
Minnesota,50000
Mississippi,50000
North Carolina,50000
Washington,50000
Virginia,43859
Iowa,43250
Ohio,40330
Utah,40000
California,36500
Louisiana,25000
New Jersey,20000
Missouri,18250
Wisconsin,5000
