Station,Date,FYear,Onboard Staff
Diego,MAY-FY11,2011,2775
Diego,MAY-FY12,2012,2815
Diego,MAY-FY13,2013,2991
Diego,MAY-FY14,2014,3028
Diego,MAY-FY15,2015,3158
Diego,MAY-FY16,2016,3173
LA,MAY-FY11,2011,4891
LA,MAY-FY12,2012,4868
LA,MAY-FY13,2013,4844
LA,MAY-FY14,2014,5041
LA,MAY-FY15,2015,5137
LA,MAY-FY16,2016,5090
Beach,MAY-FY11,2011,2308
Beach,MAY-FY12,2012,2358
Beach,MAY-FY13,2013,2343
Beach,MAY-FY14,2014,2361
Beach,MAY-FY15,2015,2597
Beach,MAY-FY16,2016,2798
