label,Confident,Not Confident,Don't Know
Your credit card companies,38,46,12
Government agencies,31,54,11
Your landline telephone company,31,50,15
Your cellular telephone company,31,56,11
Your email provider(s),29,56,11
Your cable TV company,28,53,16
Companies or retailers you do business with,26,61,10
Your search engine provider(s),16,66,15
The online video sites you use,11,66,19
The social media sites you use,11,69,18
The online advertisers who place ads on websites you visit,7,76,13
