year,Men,Women
1983,13.7,7.6
1984,13.2,7.6
1985,13.3,8.0
1986,14.2,8.0
1987,14.5,7.7
1988,15.0,8.3
1989,14.6,7.9
1990,15.0,8.1
1991,14.9,8.7
1992,15.3,8.8
1993,15.8,8.8
1994,15.6,8.8
1995,15.4,8.5
1996,16.0,9.0
1997,14.5,8.6
1998,14.6,8.5
1999,13.9,8.6
2000,12.9,8.3
2001,13.1,8.1
2002,13.6,8.3
2003,13.5,7.0
2004,13.9,8.0
2005,13.5,8.1
2006,14.3,8.8
2007,14.2,9.3
2008,15.1,10.3
2009,15.6,9.9
2010,16.4,10.5
2011,17.1,9.7
2012,16.9,10.4
2013,16.8,11.1
