label,amt
2002,159892.49
2003,733765.29
2004,1176963.45
2005,2173866.25
2006,3944265.08
2007,6515714.73
2008,8113262.56
2009,13244943.72
2010,19574006.44
2011,20041588.43
2012,25607721.81
2013,29567626.82
2014,33358880.87
