STATEFP,SCSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,NPR_AllDistricts_3.24.16_NCES_ID_ORIG,NPR_AllDistricts_3.24.16_District Name,NPR_AllDistricts_3.24.16_State Name,NPR_AllDistricts_3.24.16_City Name,NPR_AllDistricts_3.24.16_ENROLLMENT (Number of students enrolled in district):2013,NPR_AllDistricts_3.24.16_Raw per-pupil expenditures for district:2013,"NPR_AllDistricts_3.24.16_Per-pupil expenditures for district, adjusted by regional cost differences:2013",NPR_AllDistricts_3.24.16_color_bin_orig,NPR_AllDistricts_3.24.16_color_bin
46,,4636150,Iroquois School District 02-3,00,PK,12,G5420,,E,974875471,748204,+44.3610841,-097.8740011,,36150,4636150,IROQUOIS SCHOOL DISTRICT 2-3,SD,IROQUOIS,241,9506.22406639004,9902.09281257299,,bin2
46,,4636990,Dakota Valley School District 61-8,00,PK,12,G5420,,E,69423496,6928698,+42.5285210,-096.5251372,,36990,4636990,DAKOTA VALLEY SCHOOL DISTRICT 61-8,SD,NORTH SIOUX CITY,1195,8241.00418410042,7629.45051682285,,bin1
46,,4638220,Kimball School District 07-2,00,KG,12,G5420,,E,1223376306,4930092,+43.7473900,-098.9837179,,38220,4638220,KIMBALL IND SCHOOL DISTRICT 7-2,SD,KIMBALL,272,9209.55882352941,9361.43345470287,,bin2
46,,4639540,Andes Central School District 11-1,00,PK,12,G5420,,E,486335514,43141775,+43.1457058,-098.5354437,,39540,4639540,ANDES CENTRAL SCHOOL DISTRICT 11-1,SD,LAKE ANDES,354,12963.2768361582,13177.0539481802,,bin4
46,,4639600,Madison Central School District 39-2,00,KG,12,G5420,,E,629866184,20162514,+43.9766766,-097.1920347,,39600,4639600,MADISON CENTRAL SCHOOL DISTRICT 39-2,SD,MADISON,1119,8045.5764075067,8792.41603807798,,bin2
46,,4639990,Lake Preston School District 38-3,00,KG,12,G5420,,E,488537453,24605558,+44.4047669,-097.3603882,,39990,4639990,LAKE PRESTON SCHOOL DISTRICT 38-3,SD,LAKE PRESTON,191,12151.832460733,13279.8399030923,,bin4
46,,4640860,Langford School District 45-5,00,KG,12,G5420,,E,1052065624,48129187,+45.6002556,-097.7397211,,40860,4640860,LANGFORD AREA SCHOOL DISTRICT 45-5,SD,LANGFORD,234,8038.46153846154,8373.20808643335,,bin2
46,,4641300,Lead-Deadwood School District 40-1,00,PK,12,G5420,,E,1117639582,60271,+44.2657118,-103.7624994,,41300,4641300,LEAD-DEADWOOD SCHOOL DISTRICT 40-1,SD,LEAD,859,11300.3492433062,11409.7163739141,,bin3
46,,4641520,Lemmon School District 52-4,00,PK,12,G5420,,E,4239841383,24901303,+45.7752570,-102.0058757,,41520,4641520,LEMMON SCHOOL DISTRICT 52-4,SD,LEMMON,243,12489.7119341564,12948.5578361877,,bin4
46,,4641550,Lennox School District 41-4,00,PK,12,G5420,,E,496931641,89604,+43.3580236,-096.8925120,,41550,4641550,LENNOX SCHOOL DISTRICT 41-4,SD,LENNOX,1069,6802.61927034612,6403.99070046379,,bin1
46,,4641640,Leola School District 44-2,00,PK,12,G5420,,E,1526262960,20820980,+45.8030631,-099.0168732,,41640,4641640,LEOLA SCHOOL DISTRICT 44-2,SD,LEOLA,219,10374.4292237443,10806.4527338662,,bin2
46,,4644770,Lyman School District 42-1,00,PK,12,G5420,,E,3048936384,103803484,+43.9559181,-099.9936853,,44770,4644770,LYMAN SCHOOL DISTRICT 42-1,SD,PRESHO,390,13600,13824.2772996554,,bin4
