"","y","count","x","xmin","xmax","density","ncount","ndensity","PANEL","group","ymin","ymax","colour","fill","size","linetype","alpha"
"81",58,58,20125,20000,20250,1.75637822696646e-05,0.117408906882591,387713.562753036,1,-1,0,58,NA,"grey35",0.5,1,NA
"82",44,44,20375,20250,20500,1.33242486183663e-05,0.0890688259109312,294127.530364372,1,-1,0,44,NA,"grey35",0.5,1,NA
"83",57,57,20625,20500,20750,1.7260958437429e-05,0.115384615384615,381028.846153846,1,-1,0,57,NA,"grey35",0.5,1,NA
"84",42,42,20875,20750,21000,1.27186009538951e-05,0.0850202429149798,280758.097165992,1,-1,0,42,NA,"grey35",0.5,1,NA
"85",43,43,21125,21000,21250,1.30214247861307e-05,0.0870445344129555,287442.813765182,1,-1,0,43,NA,"grey35",0.5,1,NA
"86",42,42,21375,21250,21500,1.27186009538951e-05,0.0850202429149798,280758.097165992,1,-1,0,42,NA,"grey35",0.5,1,NA
"87",35,35,21625,21500,21750,1.05988341282459e-05,0.0708502024291498,233965.08097166,1,-1,0,35,NA,"grey35",0.5,1,NA
"88",39,39,21875,21750,22000,1.18101294571883e-05,0.0789473684210526,260703.947368421,1,-1,0,39,NA,"grey35",0.5,1,NA
"89",47,47,22125,22000,22250,1.42327201150731e-05,0.0951417004048583,314181.680161943,1,-1,0,47,NA,"grey35",0.5,1,NA
"90",22,22,22375,22250,22500,6.66212430918313e-06,0.0445344129554656,147063.765182186,1,-1,0,22,NA,"grey35",0.5,1,NA
"91",47,47,22625,22500,22750,1.42327201150731e-05,0.0951417004048583,314181.680161943,1,-1,0,47,NA,"grey35",0.5,1,NA
"92",25,25,22875,22750,23000,7.57059580588992e-06,0.0506072874493927,167117.914979757,1,-1,0,25,NA,"grey35",0.5,1,NA
"93",29,29,23125,23000,23250,8.78189113483231e-06,0.0587044534412955,193856.781376518,1,-1,0,29,NA,"grey35",0.5,1,NA
"94",34,34,23375,23250,23500,1.02960102960103e-05,0.0688259109311741,227280.36437247,1,-1,0,34,NA,"grey35",0.5,1,NA
"95",24,24,23625,23500,23750,7.26777197365433e-06,0.048582995951417,160433.198380567,1,-1,0,24,NA,"grey35",0.5,1,NA
"96",27,27,23875,23750,24000,8.17624347036112e-06,0.0546558704453441,180487.348178138,1,-1,0,27,NA,"grey35",0.5,1,NA
"97",31,31,24125,24000,24250,9.3875387993035e-06,0.062753036437247,207226.214574899,1,-1,0,31,NA,"grey35",0.5,1,NA
"98",23,23,24375,24250,24500,6.96494814141873e-06,0.0465587044534413,153748.481781377,1,-1,0,23,NA,"grey35",0.5,1,NA
"99",20,20,24625,24500,24750,6.05647664471194e-06,0.0404858299595142,133694.331983806,1,-1,0,20,NA,"grey35",0.5,1,NA
"100",27,27,24875,24750,25000,8.17624347036112e-06,0.0546558704453441,180487.348178138,1,-1,0,27,NA,"grey35",0.5,1,NA
"101",25,25,25125,25000,25250,7.57059580588992e-06,0.0506072874493927,167117.914979757,1,-1,0,25,NA,"grey35",0.5,1,NA
"102",17,17,25375,25250,25500,5.14800514800515e-06,0.034412955465587,113640.182186235,1,-1,0,17,NA,"grey35",0.5,1,NA
"103",10,10,25625,25500,25750,3.02823832235597e-06,0.0202429149797571,66847.1659919028,1,-1,0,10,NA,"grey35",0.5,1,NA
"104",17,17,25875,25750,26000,5.14800514800515e-06,0.034412955465587,113640.182186235,1,-1,0,17,NA,"grey35",0.5,1,NA
"105",16,16,26125,26000,26250,4.84518131576955e-06,0.0323886639676113,106955.465587045,1,-1,0,16,NA,"grey35",0.5,1,NA
"106",16,16,26375,26250,26500,4.84518131576955e-06,0.0323886639676113,106955.465587045,1,-1,0,16,NA,"grey35",0.5,1,NA
"107",17,17,26625,26500,26750,5.14800514800515e-06,0.034412955465587,113640.182186235,1,-1,0,17,NA,"grey35",0.5,1,NA
"108",16,16,26875,26750,27000,4.84518131576955e-06,0.0323886639676113,106955.465587045,1,-1,0,16,NA,"grey35",0.5,1,NA
"109",17,17,27125,27000,27250,5.14800514800515e-06,0.034412955465587,113640.182186235,1,-1,0,17,NA,"grey35",0.5,1,NA
"110",9,9,27375,27250,27500,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"111",13,13,27625,27500,27750,3.93670981906276e-06,0.0263157894736842,86901.3157894737,1,-1,0,13,NA,"grey35",0.5,1,NA
"112",12,12,27875,27750,28000,3.63388598682716e-06,0.0242914979757085,80216.5991902834,1,-1,0,12,NA,"grey35",0.5,1,NA
"113",6,6,28125,28000,28250,1.81694299341358e-06,0.0121457489878543,40108.2995951417,1,-1,0,6,NA,"grey35",0.5,1,NA
"114",16,16,28375,28250,28500,4.84518131576955e-06,0.0323886639676113,106955.465587045,1,-1,0,16,NA,"grey35",0.5,1,NA
"115",9,9,28625,28500,28750,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"116",9,9,28875,28750,29000,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"117",8,8,29125,29000,29250,2.42259065788478e-06,0.0161943319838057,53477.7327935223,1,-1,0,8,NA,"grey35",0.5,1,NA
"118",11,11,29375,29250,29500,3.33106215459157e-06,0.0222672064777328,73531.8825910931,1,-1,0,11,NA,"grey35",0.5,1,NA
"119",9,9,29625,29500,29750,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"120",8,8,29875,29750,30000,2.42259065788478e-06,0.0161943319838057,53477.7327935223,1,-1,0,8,NA,"grey35",0.5,1,NA
"121",9,9,30125,30000,30250,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"122",4,4,30375,30250,30500,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"123",8,8,30625,30500,30750,2.42259065788478e-06,0.0161943319838057,53477.7327935223,1,-1,0,8,NA,"grey35",0.5,1,NA
"124",8,8,30875,30750,31000,2.42259065788478e-06,0.0161943319838057,53477.7327935223,1,-1,0,8,NA,"grey35",0.5,1,NA
"125",7,7,31125,31000,31250,2.11976682564918e-06,0.01417004048583,46793.016194332,1,-1,0,7,NA,"grey35",0.5,1,NA
"126",9,9,31375,31250,31500,2.72541449012037e-06,0.0182186234817814,60162.4493927126,1,-1,0,9,NA,"grey35",0.5,1,NA
"127",5,5,31625,31500,31750,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"128",3,3,31875,31750,32000,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"129",4,4,32125,32000,32250,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"130",4,4,32375,32250,32500,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"131",5,5,32625,32500,32750,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"132",3,3,32875,32750,33000,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"133",6,6,33125,33000,33250,1.81694299341358e-06,0.0121457489878543,40108.2995951417,1,-1,0,6,NA,"grey35",0.5,1,NA
"134",7,7,33375,33250,33500,2.11976682564918e-06,0.01417004048583,46793.016194332,1,-1,0,7,NA,"grey35",0.5,1,NA
"135",4,4,33625,33500,33750,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"136",5,5,33875,33750,34000,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"137",5,5,34125,34000,34250,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"138",5,5,34375,34250,34500,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"139",5,5,34625,34500,34750,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"140",3,3,34875,34750,35000,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"141",6,6,35125,35000,35250,1.81694299341358e-06,0.0121457489878543,40108.2995951417,1,-1,0,6,NA,"grey35",0.5,1,NA
"142",2,2,35375,35250,35500,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"143",2,2,35625,35500,35750,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"144",1,1,35875,35750,36000,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"145",1,1,36125,36000,36250,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"146",3,3,36375,36250,36500,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"147",5,5,36625,36500,36750,1.51411916117798e-06,0.0101214574898785,33423.5829959514,1,-1,0,5,NA,"grey35",0.5,1,NA
"148",2,2,36875,36750,37000,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"149",1,1,37125,37000,37250,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"150",2,2,37375,37250,37500,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"151",3,3,37625,37500,37750,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"152",3,3,37875,37750,38000,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"153",2,2,38125,38000,38250,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"154",3,3,38375,38250,38500,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"155",3,3,38625,38500,38750,9.08471496706791e-07,0.00607287449392713,20054.1497975709,1,-1,0,3,NA,"grey35",0.5,1,NA
"156",4,4,38875,38750,39000,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"157",2,2,39125,39000,39250,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"158",0,0,39375,39250,39500,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"159",0,0,39625,39500,39750,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"160",2,2,39875,39750,40000,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"161",80,80,40125,40000,40250,2.42259065788478e-05,0.161943319838057,534777.327935223,1,-1,0,80,NA,"grey35",0.5,1,NA
