"","y","count","x","xmin","xmax","density","ncount","ndensity","PANEL","group","ymin","ymax","colour","fill","size","linetype","alpha"
"1",1,1,125,0,250,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"2",0,0,375,250,500,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"3",2,2,625,500,750,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"4",1,1,875,750,1000,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"5",1,1,1125,1000,1250,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"6",2,2,1375,1250,1500,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"7",0,0,1625,1500,1750,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"8",2,2,1875,1750,2000,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"9",0,0,2125,2000,2250,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"10",0,0,2375,2250,2500,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"11",1,1,2625,2500,2750,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"12",0,0,2875,2750,3000,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"13",2,2,3125,3000,3250,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"14",2,2,3375,3250,3500,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"15",1,1,3625,3500,3750,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"16",0,0,3875,3750,4000,0,0,0,1,-1,0,0,NA,"grey35",0.5,1,NA
"17",2,2,4125,4000,4250,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"18",1,1,4375,4250,4500,3.02823832235597e-07,0.00202429149797571,6684.71659919028,1,-1,0,1,NA,"grey35",0.5,1,NA
"19",4,4,4625,4500,4750,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"20",2,2,4875,4750,5000,6.05647664471194e-07,0.00404858299595142,13369.4331983806,1,-1,0,2,NA,"grey35",0.5,1,NA
"21",4,4,5125,5000,5250,1.21129532894239e-06,0.00809716599190283,26738.8663967611,1,-1,0,4,NA,"grey35",0.5,1,NA
"22",12,12,5375,5250,5500,3.63388598682716e-06,0.0242914979757085,80216.5991902834,1,-1,0,12,NA,"grey35",0.5,1,NA
"23",14,14,5625,5500,5750,4.23953365129836e-06,0.0283400809716599,93586.032388664,1,-1,0,14,NA,"grey35",0.5,1,NA
"24",24,24,5875,5750,6000,7.26777197365433e-06,0.048582995951417,160433.198380567,1,-1,0,24,NA,"grey35",0.5,1,NA
"25",40,40,6125,6000,6250,1.21129532894239e-05,0.0809716599190283,267388.663967611,1,-1,0,40,NA,"grey35",0.5,1,NA
"26",60,60,6375,6250,6500,1.81694299341358e-05,0.121457489878543,401082.995951417,1,-1,0,60,NA,"grey35",0.5,1,NA
"27",67,67,6625,6500,6750,2.0289196759785e-05,0.135627530364372,447876.012145749,1,-1,0,67,NA,"grey35",0.5,1,NA
"28",89,89,6875,6750,7000,2.69513210689681e-05,0.180161943319838,594939.777327935,1,-1,0,89,NA,"grey35",0.5,1,NA
"29",134,134,7125,7000,7250,4.057839351957e-05,0.271255060728745,895752.024291498,1,-1,0,134,NA,"grey35",0.5,1,NA
"30",183,183,7375,7250,7500,5.54167612991142e-05,0.370445344129555,1223303.13765182,1,-1,0,183,NA,"grey35",0.5,1,NA
"31",240,240,7625,7500,7750,7.26777197365433e-05,0.48582995951417,1604331.98380567,1,-1,0,240,NA,"grey35",0.5,1,NA
"32",269,269,7875,7750,8000,8.14596108713756e-05,0.544534412955466,1798188.76518219,1,-1,0,269,NA,"grey35",0.5,1,NA
"33",317,317,8125,8000,8250,9.59951548186842e-05,0.6417004048583,2119055.16194332,1,-1,0,317,NA,"grey35",0.5,1,NA
"34",365,365,8375,8250,8500,0.000110530698765993,0.738866396761134,2439921.55870445,1,-1,0,365,NA,"grey35",0.5,1,NA
"35",420,420,8625,8500,8750,0.000127186009538951,0.850202429149798,2807580.97165992,1,-1,0,420,NA,"grey35",0.5,1,NA
"36",445,445,8875,8750,9000,0.000134756605344841,0.90080971659919,2974698.88663968,1,-1,0,445,NA,"grey35",0.5,1,NA
"37",449,449,9125,9000,9250,0.000135967900673783,0.908906882591093,3001437.75303644,1,-1,0,449,NA,"grey35",0.5,1,NA
"38",494,494,9375,9250,9500,0.000149594973124385,1,3302250,1,-1,0,494,NA,"grey35",0.5,1,NA
"39",442,442,9625,9500,9750,0.000133848133848134,0.894736842105263,2954644.73684211,1,-1,0,442,NA,"grey35",0.5,1,NA
"40",414,414,9875,9750,10000,0.000125369066545537,0.838056680161943,2767472.67206478,1,-1,0,414,NA,"grey35",0.5,1,NA
"41",449,449,10125,10000,10250,0.000135967900673783,0.908906882591093,3001437.75303644,1,-1,0,449,NA,"grey35",0.5,1,NA
"42",442,442,10375,10250,10500,0.000133848133848134,0.894736842105263,2954644.73684211,1,-1,0,442,NA,"grey35",0.5,1,NA
"43",409,409,10625,10500,10750,0.000123854947384359,0.827935222672065,2734049.08906883,1,-1,0,409,NA,"grey35",0.5,1,NA
"44",407,407,10875,10750,11000,0.000123249299719888,0.823886639676113,2720679.65587045,1,-1,0,407,NA,"grey35",0.5,1,NA
"45",367,367,11125,11000,11250,0.000111136346430464,0.742914979757085,2453290.99190283,1,-1,0,367,NA,"grey35",0.5,1,NA
"46",404,404,11375,11250,11500,0.000122340828223181,0.817813765182186,2700625.50607287,1,-1,0,404,NA,"grey35",0.5,1,NA
"47",340,340,11625,11500,11750,0.000102960102960103,0.688259109311741,2272803.6437247,1,-1,0,340,NA,"grey35",0.5,1,NA
"48",328,328,11875,11750,12000,9.93262169732758e-05,0.663967611336032,2192587.04453441,1,-1,0,328,NA,"grey35",0.5,1,NA
"49",330,330,12125,12000,12250,9.9931864637747e-05,0.668016194331984,2205956.47773279,1,-1,0,330,NA,"grey35",0.5,1,NA
"50",277,277,12375,12250,12500,8.38822015292604e-05,0.560728744939271,1851666.49797571,1,-1,0,277,NA,"grey35",0.5,1,NA
"51",257,257,12625,12500,12750,7.78257248845484e-05,0.520242914979757,1717972.1659919,1,-1,0,257,NA,"grey35",0.5,1,NA
"52",227,227,12875,12750,13000,6.87410099174805e-05,0.459514170040486,1517430.66801619,1,-1,0,227,NA,"grey35",0.5,1,NA
"53",221,221,13125,13000,13250,6.69240669240669e-05,0.447368421052632,1477322.36842105,1,-1,0,221,NA,"grey35",0.5,1,NA
"54",197,197,13375,13250,13500,5.96562949504126e-05,0.398785425101215,1316889.17004049,1,-1,0,197,NA,"grey35",0.5,1,NA
"55",206,206,13625,13500,13750,6.2381709440533e-05,0.417004048582996,1377051.6194332,1,-1,0,206,NA,"grey35",0.5,1,NA
"56",209,209,13875,13750,14000,6.32901809372398e-05,0.423076923076923,1397105.76923077,1,-1,0,209,NA,"grey35",0.5,1,NA
"57",168,168,14125,14000,14250,5.08744038155803e-05,0.340080971659919,1123032.38866397,1,-1,0,168,NA,"grey35",0.5,1,NA
"58",170,170,14375,14250,14500,5.14800514800515e-05,0.34412955465587,1136401.82186235,1,-1,0,170,NA,"grey35",0.5,1,NA
"59",146,146,14625,14500,14750,4.42122795063971e-05,0.295546558704453,975968.623481781,1,-1,0,146,NA,"grey35",0.5,1,NA
"60",137,137,14875,14750,15000,4.14868650162768e-05,0.277327935222672,915806.174089069,1,-1,0,137,NA,"grey35",0.5,1,NA
"61",132,132,15125,15000,15250,3.99727458550988e-05,0.267206477732794,882382.591093117,1,-1,0,132,NA,"grey35",0.5,1,NA
"62",126,126,15375,15250,15500,3.81558028616852e-05,0.255060728744939,842274.291497976,1,-1,0,126,NA,"grey35",0.5,1,NA
"63",135,135,15625,15500,15750,4.08812173518056e-05,0.273279352226721,902436.740890688,1,-1,0,135,NA,"grey35",0.5,1,NA
"64",101,101,15875,15750,16000,3.05852070557953e-05,0.204453441295547,675156.376518219,1,-1,0,101,NA,"grey35",0.5,1,NA
"65",116,116,16125,16000,16250,3.51275645393292e-05,0.234817813765182,775427.125506073,1,-1,0,116,NA,"grey35",0.5,1,NA
"66",109,109,16375,16250,16500,3.30077977136801e-05,0.220647773279352,728634.109311741,1,-1,0,109,NA,"grey35",0.5,1,NA
"67",120,120,16625,16500,16750,3.63388598682716e-05,0.242914979757085,802165.991902834,1,-1,0,120,NA,"grey35",0.5,1,NA
"68",109,109,16875,16750,17000,3.30077977136801e-05,0.220647773279352,728634.109311741,1,-1,0,109,NA,"grey35",0.5,1,NA
"69",77,77,17125,17000,17250,2.3317435082141e-05,0.15587044534413,514723.178137652,1,-1,0,77,NA,"grey35",0.5,1,NA
"70",83,83,17375,17250,17500,2.51343780755545e-05,0.168016194331984,554831.477732794,1,-1,0,83,NA,"grey35",0.5,1,NA
"71",79,79,17625,17500,17750,2.39230827466122e-05,0.159919028340081,528092.611336032,1,-1,0,79,NA,"grey35",0.5,1,NA
"72",97,97,17875,17750,18000,2.93739117268529e-05,0.196356275303644,648417.510121458,1,-1,0,97,NA,"grey35",0.5,1,NA
"73",81,81,18125,18000,18250,2.45287304110834e-05,0.163967611336032,541462.044534413,1,-1,0,81,NA,"grey35",0.5,1,NA
"74",71,71,18375,18250,18500,2.15004920887274e-05,0.143724696356275,474614.87854251,1,-1,0,71,NA,"grey35",0.5,1,NA
"75",56,56,18625,18500,18750,1.69581346051934e-05,0.11336032388664,374344.129554656,1,-1,0,56,NA,"grey35",0.5,1,NA
"76",75,75,18875,18750,19000,2.27117874176698e-05,0.151821862348178,501353.744939271,1,-1,0,75,NA,"grey35",0.5,1,NA
"77",53,53,19125,19000,19250,1.60496631084866e-05,0.107287449392713,354289.979757085,1,-1,0,53,NA,"grey35",0.5,1,NA
"78",61,61,19375,19250,19500,1.84722537663714e-05,0.123481781376518,407767.712550607,1,-1,0,61,NA,"grey35",0.5,1,NA
"79",62,62,19625,19500,19750,1.8775077598607e-05,0.125506072874494,414452.429149798,1,-1,0,62,NA,"grey35",0.5,1,NA
"80",56,56,19875,19750,20000,1.69581346051934e-05,0.11336032388664,374344.129554656,1,-1,0,56,NA,"grey35",0.5,1,NA
