date,Agriculture,Architecture,Art and Performance,Biology,Business,Communications and Journalism,Computer Science,Education,Engineering,English,Foreign Languages,Health Professions,Math and Statistics,Physical Sciences,Psychology,Public Administration,Social Sciences and History,Women Across All Majors
1970,4.2,11.9,59.7,29.1,9.1,35.3,13.6,74.5,0.8,65.6,73.8,77.1,38,13.8,44.4,68.4,36.8,43.4
1971,5.5,12,59.9,29.4,9.5,35.5,13.6,74.1,1,64.6,73.9,75.5,39,14.9,46.2,65.5,36.2,43.6
1972,7.4,13.2,60.4,29.8,10.6,36.6,14.9,73.6,1.2,63.7,74.6,76.9,40.2,14.8,47.6,62.6,36.1,43.8
1973,9.7,14.8,60.2,31.1,12.8,38.4,16.4,73.5,1.6,62.9,74.9,77.4,40.9,16.5,50.4,64.3,36.4,44.2
1974,14.1,17.4,61.9,33,16.2,40.5,18.9,73.3,2.2,62.4,75.3,77.9,41.8,18.2,52.6,66.1,37.3,45.3
1975,18.3,19.1,60.9,34.4,19.7,41.5,19.8,72.8,3.2,61.6,75,78.9,40.7,19.1,54.5,63,37.7,45.5
1976,22.3,21.4,61.3,36.1,23.4,44.3,23.9,72.2,4.5,62.1,74.4,79.2,41.5,20,56.9,65.6,39.2,46.1
1977,24.6,23.7,62,38.3,27.2,46.9,25.7,72.5,6.8,62.7,74.3,80.5,41.1,21.3,59,69.3,40.5,47.1
1978,27.1,25.8,62.5,40.1,30.5,49.9,28.1,73.2,8.4,63.6,74.3,81.9,41.6,22.5,61.3,71.5,41.8,48.2
1979,29.6,27.8,63.2,42.1,33.6,52.3,30.2,73.8,9.4,65.1,74.2,82.3,42.3,23.7,63.3,73.3,43.6,49.0
1980,30.8,28.1,63.4,44,36.8,54.7,32.5,75,10.3,65.3,74.1,83.5,42.8,24.6,65.1,74.6,44.2,49.8
1981,31.3,29.8,63.3,45.2,39.3,56.4,34.8,75.8,11.6,65.8,73.9,84.1,43.2,25.7,66.9,74.7,44.6,50.3
1982,32.6,34.8,63.1,46,41.9,58,36.3,75.8,12.4,65.8,72.7,84.4,44,27.3,67.5,76.8,44.6,50.6
1983,31.6,35.8,62.4,46.7,43.5,58.6,37.1,76,13.1,65.9,71.8,84.6,44.3,27.6,67.9,76.1,44.1,50.5
1984,31.1,35.5,62.1,47.7,45.1,59.1,36.8,75.9,13.5,65.7,72.1,85.1,46.2,28,68.2,75.9,44.1,50.7
1985,31.4,36.1,61.8,47.9,45.7,59,35.7,75.9,13.5,65.8,70.8,85.3,46.5,27.5,69,75,43.8,50.8
1986,31.2,37.2,62.1,48.3,46.5,60,34.7,76.1,13.9,66,71.2,85.7,46.7,28.4,69,75.7,44,51.5
1987,31.5,38.7,61.7,50.2,46.7,60.2,32.4,77,14,66.7,72,85.5,46.5,30.4,70.1,76.4,43.9,52.0
1988,31.1,39.4,61.7,50.1,46.8,60.4,30.8,77.6,13.9,67.1,72.3,85.2,46.2,29.7,70.9,75.6,44.4,52.6
1989,31.6,39.1,62,50.8,46.8,60.5,29.9,78.1,14.1,67,72.4,84.6,46.2,31.3,71.6,76,44.2,53.2
1990,32.7,40.8,62.6,50.8,47.2,60.8,29.4,78.9,14.1,66.9,71.2,83.9,47.3,31.6,72.6,77.6,45.1,53.9
1991,34.7,33.7,62.1,51.5,47.2,60.8,28.7,79,14,66.2,71.1,83.5,47,32.6,73.2,78.2,45.5,54.2
1992,33.9,35.2,61,51.3,47.2,59.7,28.2,78.4,14.5,65.6,71,83,47.4,32.6,73.2,77.3,45.8,54.3
1993,34.9,35.8,60.2,51.1,47.6,58.7,28.5,77.3,14.9,65.7,70,82.4,46.4,33.6,73.1,78,46.1,54.5
1994,36,34.4,59.4,52.2,48,58.1,28.5,75.8,15.7,65.6,69.1,81.8,47,34.8,72.9,78.8,46.8,54.6
1995,36.8,36.1,59.2,52.6,48.6,58.8,27.5,75.1,16.2,65.9,69.6,81.5,46.1,35.9,73,78.8,47.9,55.1
1996,39,35.9,58.6,53.8,48.6,58.7,27.1,75,16.7,66.4,69.7,81.3,46.4,37.3,73.9,79.8,48.7,55.6
1997,40.7,35.1,58.7,55,48.6,60,26.8,75.2,17,66.8,70,81.9,47,38.3,74.4,81,49.2,56.1
1998,41.9,37.6,59.1,56.4,49.3,60,27,75.5,17.8,67.3,70.1,82.1,48.3,39.7,75.1,81.3,50.5,56.8
1999,42.9,38.6,59.2,58.2,49.8,61.2,28.1,75.8,18.6,67.8,70.9,83.5,47.8,40.2,76.5,81.1,51.2,57.2
2000,45.1,40,59.2,59.4,49.8,61.9,27.7,76.7,18.4,68.4,70.9,83.5,48.2,41,77.5,81.1,51.8,57.3
2001,45.9,40.7,59.4,60.7,50.3,63,27.6,77.4,19,68.6,71.2,85.1,47,42.2,77.5,80.9,51.7,57.4
2002,47.1,41.1,60.9,61.9,50.6,63.7,27,78.6,18.7,68.8,70.5,85.8,45.7,41.1,77.7,81.3,51.5,57.5
2003,47.9,42.8,61.1,62.2,50.3,64.6,25.1,78.5,18.8,68.9,70.6,86.5,46,41.7,77.8,81.5,50.9,57.5
2004,47.9,43.5,61.3,61.9,50,64.2,22.2,78.7,18.2,68.5,70.8,86.5,44.7,42.1,77.8,80.7,50.5,57.4
2005,47.7,43.1,61.4,61.5,49.8,63.4,20.6,79.1,17.9,68.6,69.9,86,45.1,41.6,77.5,81.2,50,57.5
2006,46.8,44.5,61.6,60.2,49.2,63,18.6,78.7,16.8,68.3,69.6,85.9,44.1,40.8,77.4,81.2,49.8,57.4
2007,47.6,43.1,61.4,59.4,49,62.5,17.6,78.7,16.8,67.9,70.2,85.4,44.1,40.7,77.1,82.1,49.3,57.3
2008,47.6,42.7,60.7,59.3,48.9,62.4,17.8,79.2,16.5,67.6,70.2,85.2,43.3,40.7,77.2,81.7,49.4,57.2
2009,48.7,43.3,61,58.5,48.8,62.8,18.1,79.5,16.8,68,69.3,85.1,43.3,40.7,77.1,82,49.4,57.2
2010,48.7,42.1,61.3,59,48.8,62.5,17.6,79.6,17.2,67.9,69,85,43.1,40.2,77,81.7,49.3,57.2
2011,50,42.8,61.2,58.7,48.2,62.2,18.2,79.4,17.5,68.4,69.5,84.8,43.1,40.1,76.7,81.9,49.2,57.3
