Hurricane Irma - Power Outage Data,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,9/11/2017 18:01,,,,,,Total Accounts Without Power:,,,,,,"6,516,564",,,Percentages:,,,Without,,62.05%,,With,37.95%,
County,FPL,,,Duke Energy,,,Gulf Power,,,Tampa Electric,,,FPU,,,Cooperatives,,,Municipals,,,COUNTY TOTALS,,,
,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Current Number Out,Number of Accounts,% With,% Out
OKEECHOBEE,"20,000","19,080",95%,,,,,,,,,,,,,"2,790","2,790",100%,,,,"21,870","22,790",4%,96%
ORANGE,10,10,100%,"369,171","220,151",60%,,,,,,,,,,,,,"211,091","117,000",55%,"337,161","580,272",42%,58%
OSCEOLA,10,10,100%,"48,065","23,995",50%,,,,,,,,,,914,746,82%,"103,742","30,601",29%,"55,352","152,731",64%,36%
PALM BEACH,"739,000","481,020",65%,,,,,,,,,,,,,,,,"27,847","24,500",88%,"505,520","766,847",34%,66%
PASCO,,,,"139,992","102,846",73%,,,,"23,836","15,731",66%,,,,"106,267","71,990",68%,,,,"190,567","270,095",29%,71%
PINELLAS,,,,"540,933","430,984",80%,,,,"10,984",770,7%,,,,,,,,,,"431,754","551,917",22%,78%
POLK,,,,"100,519","66,618",66%,,,,"85,282","52,513",62%,,,,"5,797","5,410",93%,"139,134","77,539",56%,"202,080","330,732",39%,61%
PUTNAM,"20,100","18,980",94%,,,,,,,,,,,,,"21,166","17,654",83%,,,,"36,634","41,266",11%,89%
SANTA ROSA,,,,,,,"68,697",4,0%,,,,,,,"7,559",0,0%,,,,4,"76,256",100%,0%
SARASOTA,"263,800","152,500",58%,,,,,,,,,,,,,35,0,0%,,,,"152,500","263,835",42%,58%
SEMINOLE,"54,400","37,190",68%,"156,103","116,594",75%,,,,,,,,,,,,,,,,"153,784","210,503",27%,73%
ST. JOHNS,"86,800","71,790",83%,,,,,,,,,,,,,,,,"43,969","24,480",56%,"96,270","130,769",26%,74%
ST. LUCIE,"126,200","88,040",70%,,,,,,,,,,,,,,,,"27,630","17,510",63%,"105,550","153,830",31%,69%
SUMTER,,,,"10,171","8,800",87%,,,,,,,,,,"61,939","18,298",30%,"1,500","1,500",100%,"28,598","73,610",61%,39%
SUWANNEE,"5,100","4,530",89%,797,470,59%,,,,,,,,,,"16,860","15,991",95%,,,,"20,991","22,757",8%,92%
TAYLOR,,,,"6,026","3,520",58%,,,,,,,,,,"6,890","5,429",79%,,,,"8,949","12,916",31%,69%
UNION,"1,700","1,220",72%,,,,,,,,,,,,,"3,738","3,341",89%,,,,"4,561","5,438",16%,84%
VOLUSIA,"176,800","116,030",66%,"81,055","68,078",84%,,,,,,,,,,"2,151","1,928",90%,"26,539","26,539",100%,"212,575","286,545",26%,74%
WAKULLA,,,,"6,814","3,876",57%,,,,,,,,,,"8,657","3,466",40%,,,,"7,342","15,471",53%,47%
WALTON,,,,,,,"23,143",2,0%,,,,,,,"36,333",48,0%,,,,50,"59,476",100%,0%
WASHINGTON,,,,,,,"6,481",346,5%,,,,,,,"6,609",166,3%,,,,512,"13,090",96%,4%
Totals,"4,904,060","3,378,960",69%,"1,768,015","1,282,424",73%,"449,310","1,187",0%,"751,882","332,804",44%,"28,654","17,331",60%,"1,148,900","708,858",62%,"1,450,690","795,000",55%,"6,516,564","10,501,511",37.95%,62.05%
