ALACHUA,"1,300","1,000",77%,"4,880","2,277",47%,,,,,,,,,,"23,226","16,546",71%,"100,626","13,851",14%,"33,674","130,032",74%,26%
BAKER,"5,400","2,140",40%,,,,,,,,,,,,,"5,963","4,215",71%,,,,"6,355","11,363",44%,56%
BAY,,,,"2,273",925,41%,"101,709",0,0%,,,,,,,"11,647",2,0%,,,,927,"115,629",99%,1%
BRADFORD,"4,100","2,800",68%,,,,,,,,,,,,,"5,864","3,318",57%,"2,685","2,685",100%,"8,803","12,649",30%,70%
BREVARD,"307,600","173,390",56%,16,7,44%,,,,,,,,,,"3,028",51,2%,,,,"173,448","310,644",44%,56%
BROWARD,"933,300","439,100",47%,,,,,,,,,,,,,54,54,100%,,,,"439,154","933,354",53%,47%
CALHOUN,,,,,,,,,,,,,925,1,0%,"1,697",0,0%,"1,314",0,0%,1,"3,936",100%,0%
CHARLOTTE,"114,100","39,330",34%,,,,,,,,,,,,,858,858,100%,,,,"40,188","114,958",65%,35%
CITRUS,,,,"46,697","25,148",54%,,,,,,,,,,"41,017","24,445",60%,,,,"49,593","87,714",43%,57%
CLAY,900,190,21%,,,,,,,,,,,,,"80,056","31,217",39%,"13,883","4,340",31%,"35,747","94,839",62%,38%
COLLIER,"210,700","177,360",84%,,,,,,,,,,,,,"35,211","35,211",100%,,,,"212,571","245,911",14%,86%
COLUMBIA,"14,000","7,970",57%,566,241,43%,,,,,,,,,,"18,797","9,624",51%,,,,"17,835","33,363",47%,53%
DESOTO,"16,600","7,680",46%,,,,,,,,,,,,,965,589,61%,,,,"8,269","17,565",53%,47%
DIXIE,,,,"1,800",788,44%,,,,,,,,,,"8,217","3,870",47%,,,,"4,658","10,017",53%,47%
DUVAL,10,10,100%,,,,,,,,,,,,,17,10,59%,"449,815","109,278",24%,"109,298","449,842",76%,24%
ESCAMBIA,,,,,,,"152,699",0,0%,,,,,,,"3,437",0,0%,,,,0,"156,136",100%,0%
FLAGLER,"58,000","36,470",63%,16,10,63%,,,,,,,,,,3,3,100%,,,,"36,483","58,019",37%,63%
FRANKLIN,,,,"10,202","4,302",42%,,,,,,,,,,,,,,,,"4,302","10,202",58%,42%
GADSDEN,,,,,,,,,,,,,,,,"14,972","14,998",100%,"7,322",0,0%,"14,998","22,294",33%,67%
GILCHRIST,,,,"1,637",697,43%,,,,,,,,,,"7,263","4,042",56%,,,,"4,739","8,900",47%,53%
GLADES,"3,400","2,390",70%,,,,,,,,,,,,,"2,942","2,427",82%,912,912,100%,"5,729","7,254",21%,79%
GULF,,,,"6,470","2,684",41%,,,,,,,,,,"4,439",7,0%,,,,"2,691","10,909",75%,25%
HAMILTON,,,,"2,927","1,283",44%,,,,,,,,,,"3,785","2,835",75%,,,,"4,118","6,712",39%,61%
HARDEE,40,20,50%,"2,671","1,996",75%,,,,,,,,,,"6,846","3,690",54%,"2,734","2,734",100%,"8,440","12,291",31%,69%
HENDRY,"9,700","8,240",85%,,,,,,,,,,,,,"4,778","3,682",77%,"4,272","1,281",30%,"13,203","18,750",30%,70%
HERNANDO,,,,"11,341","6,194",55%,,,,,,,,,,"83,599","29,888",36%,,,,"36,082","94,940",62%,38%
HIGHLANDS,600,130,22%,"54,209","40,196",74%,,,,,,,,,,"7,647","7,586",99%,,,,"47,912","62,456",23%,77%
HILLSBOROUGH,,,,25,14,56%,,,,"631,780","191,178",30%,,,,"1,148",365,32%,,,,"191,557","632,953",70%,30%
HOLMES,,,,,,,"2,581",0,0%,,,,,,,"7,842",0,0%,,,,0,"10,423",100%,0%
INDIAN RIVER,"56,300","21,050",37%,,,,,,,,,,,,,215,204,95%,"35,030","1,880",5%,"23,134","91,545",75%,25%
JACKSON,,,,,,,"1,398",0,0%,,,,"10,884",117,1%,"13,879",3,0%,,,,120,"26,161",100%,0%
JEFFERSON,,,,"4,639","1,981",43%,,,,,,,,,,"3,474","2,903",84%,,,,"4,884","8,113",40%,60%
LAFAYETTE,,,,845,364,43%,,,,,,,,,,"3,200","2,743",86%,,,,"3,107","4,045",23%,77%
LAKE,,,,"84,056","42,458",51%,,,,,,,,,,"66,105","31,236",47%,"27,706","10,448",38%,"84,142","177,867",53%,47%
LEE,"259,900","176,540",68%,,,,,,,,,,,,,"179,084","135,029",75%,,,,"311,569","438,984",29%,71%
LEON,,,,61,25,41%,,,,,,,,,,"26,491","24,462",92%,"117,253","3,804",3%,"28,291","143,805",80%,20%
LEVY,,,,"3,702","1,833",50%,,,,,,,,,,"19,546","9,521",49%,"1,462","1,462",100%,"12,816","24,710",48%,52%
LIBERTY,,,,,,,,,,,,,769,3,0%,"3,289","3,300",100%,,,,"3,303","4,058",19%,81%
MADISON,,,,"3,811","1,671",44%,,,,,,,,,,"6,897","3,749",54%,,,,"5,420","10,708",49%,51%
MANATEE,"184,900","69,200",37%,,,,,,,,,,,,,"24,857","3,549",14%,,,,"72,749","209,757",65%,35%
MARION,,,,"65,525","40,613",62%,,,,,,,,,,"73,611","38,106",52%,"49,955","26,061",52%,"104,780","189,091",45%,55%
MARTIN,"93,400","46,230",49%,,,,,,,,,,,,,,,,,,,"46,230","93,400",51%,49%
MIAMI-DADE,"1,114,000","607,020",54%,,,,,,,,,,,,,,,,"23,086","16,800",73%,"623,820","1,137,086",45%,55%
MONROE,90,90,100%,,,,,,,,,,,,,"32,500","21,666",67%,"31,183","31,183",100%,"52,939","63,773",17%,83%
NASSAU,"21,800","11,070",51%,,,,,,,,,,"16,076","7,743",48%,"6,920","6,183",89%,,,,"24,996","44,796",44%,56%
OKALOOSA,,,,,,,"92,602",0,0%,,,,,,,"15,809",0,0%,,,,0,"108,411",100%,0%
OKEECHOBEE,"20,000","12,800",64%,,,,,,,,,,,,,"2,790","2,790",100%,,,,"15,590","22,790",32%,68%
ORANGE,10,10,100%,"369,171","168,545",46%,,,,,,,,,,,,,"211,091","65,904",31%,"234,459","580,272",60%,40%
OSCEOLA,10,10,100%,"48,065","17,865",37%,,,,,,,,,,914,886,97%,"103,742","13,493",13%,"32,254","152,731",79%,21%
PALM BEACH,"739,000","350,840",47%,,,,,,,,,,,,,,,,"27,847","24,510",88%,"375,350","766,847",51%,49%
PASCO,,,,"139,992","76,623",55%,,,,"23,836","13,884",58%,,,,"106,267","27,716",26%,,,,"118,223","270,095",56%,44%
PINELLAS,,,,"540,933","319,223",59%,,,,"10,984","19,369",176%,,,,,,,,,,"338,592","551,917",39%,61%
POLK,,,,"100,519","49,521",49%,,,,"85,282","35,962",42%,,,,"5,797","5,410",93%,"139,134","59,224",43%,"150,117","330,732",55%,45%
PUTNAM,"20,100","15,560",77%,,,,,,,,,,,,,"21,166","14,770",70%,,,,"30,330","41,266",27%,73%
SANTA ROSA,,,,,,,"68,697",0,0%,,,,,,,"7,559",0,0%,,,,0,"76,256",100%,0%
SARASOTA,"263,800","102,260",39%,,,,,,,,,,,,,35,0,0%,,,,"102,260","263,835",61%,39%
SEMINOLE,"54,400","23,880",44%,"156,103","86,612",55%,,,,,,,,,,,,,,,,"110,492","210,503",48%,52%
ST. JOHNS,"86,800","48,090",55%,,,,,,,,,,,,,,,,"43,969","5,506",13%,"53,596","130,769",59%,41%
ST. LUCIE,"126,200","40,710",32%,,,,,,,,,,,,,,,,"27,630","9,964",36%,"50,674","153,830",67%,33%
SUMTER,,,,"10,171","6,548",64%,,,,,,,,,,"61,939","13,755",22%,"1,500",6,0%,"20,309","73,610",72%,28%
SUWANNEE,"5,100","4,550",89%,797,347,44%,,,,,,,,,,"16,860","11,967",71%,,,,"16,864","22,757",26%,74%
TAYLOR,,,,"6,026","2,601",43%,,,,,,,,,,"6,890","1,413",21%,,,,"4,014","12,916",69%,31%
UNION,"1,700","1,080",64%,,,,,,,,,,,,,"3,738","2,543",68%,,,,"3,623","5,438",33%,67%
VOLUSIA,"176,800","84,890",48%,"81,055","50,759",63%,,,,,,,,,,"2,151","2,075",96%,"26,539","26,539",100%,"164,263","286,545",43%,57%
WAKULLA,,,,"6,814","2,864",42%,,,,,,,,,,"8,657","8,649",100%,,,,"11,513","15,471",26%,74%
WALTON,,,,,,,"23,143",0,0%,,,,,,,"36,333",0,0%,,,,0,"59,476",100%,0%
WASHINGTON,,,,,,,"6,481",0,0%,,,,,,,"6,609",1,0%,,,,1,"13,090",100%,0%
