date,All,"Agricultural, forestry, fishing, and hunting",Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Finance and insurance,Real estate and rental and leasing,Professional and technical services,"Management, administrative, and waste services",Educational services,Healthcare and social assistance,"Arts, entertainment, and recreation",Accommodation and food services,"Other services, except private households",Public administration
1,3.6,1.8,0.8,5,8.7,4.4,3.4,8.3,2,1.3,0.8,0.2,1.7,4.6,1.1,5.2,5.8,5.4,0.1,4.9
2,3,1.1,0.5,5,7.4,4,2.4,7.6,2,2.3,0.5,0.3,1.1,2.7,0.6,4.5,5.4,3.8,0.8,4.7
3,3.1,2.5,0.5,4.4,6.7,5,2.5,8.7,1.5,3.4,0.4,0.2,0.9,4.7,0.7,5,3.1,2.8,0.7,4.9
4,4.3,5.7,1.7,5.7,10.1,4.4,4.4,12.5,2.7,3.9,0.7,0.9,1.7,5.3,0.8,6.4,4.5,4.3,1.2,7.1
5,6.1,10.7,3.9,10.4,14.3,7.3,6.5,15.4,4.1,4.4,1.1,0.9,2.4,9,1.3,7.1,5,5.8,3.4,7.6
