date,"Elkhart County, Ind.",Indiana,U.S.
2004,834.65,835.91,948.7
2005,829.12,825.48,947.91
2006,810.26,825.52,960.57
2007,802.66,824.35,976.21
2008,758.69,812.57,963.2
2009,760.29,812.16,966.64
2010,777.34,819.68,976.01
2011,757.76,814.59,972.46
2012,778.49,817.67,977.49
2013,779.44,813.99,973.54
