date,"Elkhart County, Ind.",Indiana,U.S.
2004,666,667,757
2005,684,681,782
2006,690,703,818
2007,703,722,855
2008,690,739,876
2009,689,736,876
2010,716,755,899
2011,720,774,924
2012,755,793,948
2013,767,801,958
2014,797,784,940
