date, Rest Of The World
1971,0.299
1972,0.282
1973,0.274
1974,0.315
1975,0.309
1976,0.328
1977,0.305
1978,0.285
1979,0.303
1980,0.333
1981,0.314
1982,0.345
1983,0.341
1984,0.314
1985,0.318
1986,0.342
1987,0.368
1988,0.386
1989,0.389
1990,0.454
1991,0.492
1992,0.502
1993,0.532
1994,0.554
1995,0.558
1996,0.561
1997,0.575
1998,0.577
1999,0.626
2000,0.591
2001,0.620
2002,0.637
2003,0.647
2004,0.648
2005,0.644
2006,0.637
2007,0.631
2008,0.655
2009,0.681
2010,0.689
2011,0.707
