date,Devil,Rock Star,Batman Character,Vampire,Nurse,Pirate,Pumpkin,Monster,Batman,Scary Costume/Mask,Police Officer,Zombie,Witch,Vixen,Princess,Ghost,Clown,Cat,Fairy,Athlete,Political Costume,Superhero,Angel,Political,Cowboy/Cowgirl,Dracula,Superman
2009,7,,,2,12,3,10,,,,10,13,1,5,,11,4,6,,8,,,,,,,
2010,,,,2,4,3,,,10,,,7,1,5,,12,13,6,8,9,,,,,,11,
2011,11,,5,3,9,2,,,5,,,4,1,7,,8,12,6,13,,,,,,10,,
2012,13,,4,2,9,3,,,4,12,,5,1,6,,8,,10,,,13,,,,,,11
2013,,13,2,3,,5,,,2,,,4,1,,,12,11,9,,10,,6,,,,8,7
