time,Fasted with nothing but beer,Fasted with yeast and yogurt,Fasted with water
0.00,0,0,0
0.58,0.03,0.025,0.028
1.33,0.052,0.049,0.040666667
2.00,0.055,0.041,0.030666667
3.00,0.037,0.0243,0.023333333
4.00,,0.014,0.007333333
