measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,Under 5,Malaria,Rate,2005,96.40553756,133.766889,67.5504682
Deaths,Global,Both,Under 5,Malaria,Number,2005,611712.0571,848777.1644,428620.9786
Deaths,Global,Both,All Ages,Malaria,Rate,2005,14.05237136,18.52608506,10.36773226
Deaths,Global,Both,All Ages,Malaria,Number,2006,909906.4982,1198164.699,679446.3567
Deaths,Global,Both,Under 5,Malaria,Rate,2006,94.13422757,130.178496,66.12694537
Deaths,Global,Both,Under 5,Malaria,Number,2006,600591.3865,830559.5683,421900.4588
Deaths,Global,Both,All Ages,Malaria,Rate,2006,13.61787328,17.93201287,10.16875295
Deaths,Global,Both,Under 5,Malaria,Rate,2007,91.51677435,126.7544438,64.57038786
Deaths,Global,Both,All Ages,Malaria,Number,2007,895535.8458,1174972.999,663680.5371
Deaths,Global,Both,Under 5,Malaria,Number,2007,588381.93,814932.8342,415137.5494
Deaths,Global,Both,All Ages,Malaria,Rate,2007,13.23142529,17.36007277,9.80579335
Deaths,Global,Both,Under 5,Malaria,Rate,2008,87.92812779,120.9105241,61.62817164
Deaths,Global,Both,All Ages,Malaria,Number,2008,874093.801,1156228.04,649647.1687
Deaths,Global,Both,Under 5,Malaria,Number,2008,570087.0072,783930.2455,399569.7487
Deaths,Global,Both,All Ages,Malaria,Rate,2008,12.74818431,16.86295926,9.474751834
Deaths,Global,Both,Under 5,Malaria,Rate,2009,81.98260119,114.4575255,56.67121389
Deaths,Global,Both,All Ages,Malaria,Number,2009,831489.3344,1100497.011,611103.5455
Deaths,Global,Both,Under 5,Malaria,Number,2009,535759.27,747984.0772,370348.4366
Deaths,Global,Both,All Ages,Malaria,Rate,2009,11.97112382,15.84408295,8.798184066
Deaths,Global,Both,Under 5,Malaria,Rate,2010,75.95492989,106.8471244,52.65342731
Deaths,Global,Both,All Ages,Malaria,Number,2010,788445.0315,1050001.998,579043.1182
Deaths,Global,Both,Under 5,Malaria,Number,2010,500073.6091,703462.266,346660.7034
Deaths,Global,Both,All Ages,Malaria,Rate,2010,11.21076942,14.92980464,8.233318267
Deaths,Global,Both,Under 5,Malaria,Rate,2011,71.85189118,99.96952019,49.32035624
Deaths,Global,Both,Under 5,Malaria,Number,2011,476351.6404,662761.1904,326975.8417
Deaths,Global,Both,All Ages,Malaria,Number,2011,755546.4045,1002842.346,554281.0956
Deaths,Global,Both,All Ages,Malaria,Rate,2011,10.61172182,14.08501707,7.784931227
Deaths,Global,Both,Under 5,Malaria,Rate,2012,68.00169648,95.43608328,46.2144697
Deaths,Global,Both,Under 5,Malaria,Number,2012,454027.9967,637199.5986,308560.8769
Deaths,Global,Both,All Ages,Malaria,Number,2012,725678.3041,972841.8112,528706.6283
Deaths,Global,Both,All Ages,Malaria,Rate,2012,10.06752932,13.4964948,7.334888547
Deaths,Global,Both,Under 5,Malaria,Rate,2013,65.4379502,92.18488052,44.96008379
Deaths,Global,Both,Under 5,Malaria,Number,2013,440234.6463,620174.9619,302469.5383
Deaths,Global,Both,All Ages,Malaria,Number,2013,710116.0138,952836.3662,517239.2813
Deaths,Global,Both,All Ages,Malaria,Rate,2013,9.730807434,13.0568344,7.087793749
Deaths,Global,Both,Under 5,Malaria,Rate,2014,62.86334636,88.22532621,42.87985667
Deaths,Global,Both,Under 5,Malaria,Number,2014,425478.9367,597136.808,290224.3816
Deaths,Global,Both,All Ages,Malaria,Number,2014,695007.5363,935038.3446,501547.4256
Deaths,Global,Both,All Ages,Malaria,Rate,2014,9.410638122,12.6607368,6.791122509
Deaths,Global,Both,Under 5,Malaria,Rate,2015,58.25948679,82.82955439,38.29135248
Deaths,Global,Both,Under 5,Malaria,Number,2015,395030.3959,561628.5597,259635.7943
Deaths,Global,Both,All Ages,Malaria,Number,2015,662165.9946,893455.8298,474324.1141
Deaths,Global,Both,All Ages,Malaria,Rate,2015,8.865316032,11.96190737,6.350421507
Deaths,Global,Both,Under 5,Malaria,Rate,2016,53.10517504,75.88531659,34.11585904
Deaths,Global,Both,Under 5,Malaria,Number,2016,360789.8484,515555.2515,231778.8352
Deaths,Global,Both,All Ages,Malaria,Rate,2016,8.284266197,11.16102532,5.874752706
Deaths,Global,Both,All Ages,Malaria,Number,2016,625834.4801,843159.1057,443807.9026
Deaths,Global,Both,Under 5,Malaria,Rate,2017,52.05257933,74.64409429,33.24948193
Deaths,Global,Both,All Ages,Malaria,Number,2017,619826.6347,839517.7677,440133.0286
Deaths,Global,Both,Under 5,Malaria,Number,2017,354294.491,508063.0342,226311.7107
Deaths,Global,Both,All Ages,Malaria,Rate,2017,8.112419244,10.98778225,5.760552147
