label,amt
Rand Paul*, 1877580
Elizabeth Warren*, 1337983
Ben Carson, 1220185
Rick Perry, 1164421
Ted Cruz*, 1150270
Bernie Sanders, 914104
Joe Biden, 824044
Hillary Clinton, 430745
Rick Santorum, 258796
Scott Walker*, 254272
Bobby Jindal, 231601
Chris Christie*, 179798
Jeb Bush, 163626
Martin O'Malley, 59323
Jim Webb, 19311
