time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-23T23:36:23.000Z,62.302,-133.483,2,4.1,ml,,,,0.85,ak,ak13876210,2016-08-24T05:44:09.279Z,"10km NW of Faro, Canada",earthquake,0.4,0.3,,,reviewed,ak,ak
2016-08-23T22:37:10.490Z,35.9654,69.6909,110.16,4.5,mb,,74,1.517,0.76,us,us10006g6t,2016-08-23T22:55:14.040Z,"51km ESE of Nahrin, Afghanistan",earthquake,6,9.3,0.135,16,reviewed,us,us
2016-08-23T22:02:08.580Z,29.2447,130.4695,45.78,4.8,mb,,114,2.257,1,us,us10006g6i,2016-08-23T22:21:31.040Z,"136km NE of Naze, Japan",earthquake,7.5,7.9,0.069,66,reviewed,us,us
2016-08-23T22:00:13.610Z,29.2609,130.5674,21.17,4.5,mb,,76,2.243,1.17,us,us10006g6m,2016-08-23T22:47:11.040Z,"144km NE of Naze, Japan",earthquake,8.1,6.7,0.124,19,reviewed,us,us
2016-08-23T20:47:17.040Z,37.0523333,-112.8721667,10.07,2.8,ml,20,122,0.0537,0.24,uu,uu60159237,2016-08-23T21:23:49.040Z,"10km ENE of Hildale, Utah",earthquake,0.67,1.04,0.195,12,reviewed,uu,uu
2016-08-23T20:36:39.000Z,59.8081,-152.5377,50,3,ml,,,,0.54,ak,ak13875709,2016-08-23T20:52:56.211Z,"39km W of Anchor Point, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-08-23T20:29:38.480Z,-3.4504,99.5387,28.77,4.7,mb,,137,3.527,1,us,us10006g5c,2016-08-23T20:59:53.040Z,"208km S of Muara Siberut, Indonesia",earthquake,9,5.2,0.073,57,reviewed,us,us
2016-08-23T20:15:44.770Z,-4.8592,153.113,56.39,5.2,mb,,51,1.155,0.8,us,us10006g4w,2016-08-23T20:32:27.236Z,"44km SSE of Taron, Papua New Guinea",earthquake,7.6,1.6,0.049,135,reviewed,us,us
2016-08-23T20:13:32.930Z,19.408,-155.6305,3.392,3.15,ml,48,87,0.005902,0.16,hv,hv61385226,2016-08-23T21:03:33.210Z,"25km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.33,0.174,41,reviewed,hv,hv
2016-08-23T19:39:44.220Z,-7.283,122.4506,528.18,6,mb,,17,1.36,0.89,us,us10006g2n,2016-08-24T01:58:16.000Z,"132km N of Nebe, Indonesia",earthquake,9.1,5.8,0.041,221,reviewed,us,us
2016-08-23T17:47:46.920Z,-1.2487,-15.8264,29.53,4.9,mb,,39,6.798,0.67,us,us10006g1c,2016-08-24T14:44:02.040Z,"North of Ascension Island",earthquake,9.3,4.6,0.063,79,reviewed,us,us
2016-08-23T16:56:11.720Z,36.992,-104.9418,4.51,3.9,mwr,,64,0.449,1.37,us,us10006g0b,2016-08-24T14:08:19.324Z,"43km WSW of Trinidad, Colorado",earthquake,3.2,5.2,0.063,24,reviewed,us,us
2016-08-23T16:26:21.000Z,63.2622,-143.2209,15,2.6,ml,,,,1.13,ak,ak13874179,2016-08-23T16:37:38.072Z,"14km SW of Tok, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-08-23T15:49:44.700Z,18.1033,-68.8768,139,4,Md,18,190.8,0.62253249,0.77,pr,pr16236007,2016-08-23T20:06:22.040Z,"37km SSE of La Romana, Dominican Republic",earthquake,10.1,4.9,0,17,reviewed,pr,pr
2016-08-23T15:34:45.600Z,19.2481,-67.7393,25,3,Md,6,331.2,0.89382371,0.23,pr,pr16236012,2016-08-23T20:12:16.040Z,"101km NE of Punta Cana, Dominican Republic",earthquake,2.7,18.3,0,5,reviewed,pr,pr
