year,state,job,id
1981,Arizona,Secretaries,4
1982,Arizona,Secretaries,4
1983,Arizona,Secretaries,4
1984,Arizona,Secretaries,4
1985,Arizona,Secretaries,4
1986,Arizona,Secretaries,4
1987,Arizona,Secretaries,4
1988,Arizona,Secretaries,4
1989,Arizona,Secretaries,4
1990,Arizona,"Truck, delivery, and tractor drivers",4
1991,Arizona,"Truck, delivery, and tractor drivers",4
1992,Arizona,Secretaries,4
1993,Arizona,Secretaries,4
1994,Arizona,Secretaries,4
1995,Arizona,"Truck, delivery, and tractor drivers",4
1996,Arizona,"Truck, delivery, and tractor drivers",4
1997,Arizona,"Truck, delivery, and tractor drivers",4
1998,Arizona,"Cooks, variously defined",4
1999,Arizona,"Truck, delivery, and tractor drivers",4
2000,Arizona,"Truck, delivery, and tractor drivers",4
2001,Arizona,"Truck, delivery, and tractor drivers",4
2002,Arizona,"Truck, delivery, and tractor drivers",4
2003,Arizona,"Truck, delivery, and tractor drivers",4
2004,Arizona,"Truck, delivery, and tractor drivers",4
2005,Arizona,"Truck, delivery, and tractor drivers",4
2006,Arizona,Secretaries,4
2007,Arizona,Secretaries,4
2008,Arizona,"Truck, delivery, and tractor drivers",4
2009,Arizona,"Truck, delivery, and tractor drivers",4
2010,Arizona,Retail sales clerks,4
2011,Arizona,Primary school teachers,4
2012,Arizona,"Customer service reps, investigators and adjusters, except insurance",4
2013,Arizona,"Truck, delivery, and tractor drivers",4
2014,Arizona,"Customer service reps, investigators and adjusters, except insurance",4
1978,Arkansas,Farm workers,5
1979,Arkansas,"Machine operators, n.e.c",5
1980,Arkansas,"Machine operators, n.e.c",5
1981,Arkansas,"Truck, delivery, and tractor drivers",5
1982,Arkansas,"Truck, delivery, and tractor drivers",5
1983,Arkansas,"Truck, delivery, and tractor drivers",5
1984,Arkansas,"Truck, delivery, and tractor drivers",5
1985,Arkansas,"Truck, delivery, and tractor drivers",5
1986,Arkansas,"Truck, delivery, and tractor drivers",5
1987,Arkansas,"Truck, delivery, and tractor drivers",5
1988,Arkansas,Secretaries,5
1989,Arkansas,Secretaries,5
1990,Arkansas,"Truck, delivery, and tractor drivers",5
1991,Arkansas,"Truck, delivery, and tractor drivers",5
1992,Arkansas,"Truck, delivery, and tractor drivers",5
1993,Arkansas,"Truck, delivery, and tractor drivers",5
1994,Arkansas,"Truck, delivery, and tractor drivers",5
1995,Arkansas,"Truck, delivery, and tractor drivers",5
1996,Arkansas,"Truck, delivery, and tractor drivers",5
1997,Arkansas,"Truck, delivery, and tractor drivers",5
1998,Arkansas,"Truck, delivery, and tractor drivers",5
1999,Arkansas,"Truck, delivery, and tractor drivers",5
2000,Arkansas,"Truck, delivery, and tractor drivers",5
2001,Arkansas,"Truck, delivery, and tractor drivers",5
2002,Arkansas,"Truck, delivery, and tractor drivers",5
2003,Arkansas,"Truck, delivery, and tractor drivers",5
2004,Arkansas,"Truck, delivery, and tractor drivers",5
2005,Arkansas,"Truck, delivery, and tractor drivers",5
2006,Arkansas,"Truck, delivery, and tractor drivers",5
2007,Arkansas,"Truck, delivery, and tractor drivers",5
2008,Arkansas,"Truck, delivery, and tractor drivers",5
2009,Arkansas,"Truck, delivery, and tractor drivers",5
2010,Arkansas,"Truck, delivery, and tractor drivers",5
2011,Arkansas,"Truck, delivery, and tractor drivers",5
2012,Arkansas,"Truck, delivery, and tractor drivers",5
2013,Arkansas,"Truck, delivery, and tractor drivers",5
2014,Arkansas,"Truck, delivery, and tractor drivers",5
1978,California,Secretaries,6
1979,California,Secretaries,6
1980,California,Secretaries,6
1981,California,Secretaries,6
1982,California,Secretaries,6
1983,California,Secretaries,6
1984,California,Secretaries,6
1985,California,Secretaries,6
1986,California,Secretaries,6
1987,California,Secretaries,6
1988,California,Secretaries,6
1989,California,Secretaries,6
1990,California,Secretaries,6
1991,California,"Truck, delivery, and tractor drivers",6
1992,California,"Truck, delivery, and tractor drivers",6
1993,California,"Truck, delivery, and tractor drivers",6
1994,California,"Truck, delivery, and tractor drivers",6
1995,California,"Truck, delivery, and tractor drivers",6
1996,California,"Truck, delivery, and tractor drivers",6
1997,California,"Truck, delivery, and tractor drivers",6
1998,California,"Truck, delivery, and tractor drivers",6
1999,California,"Truck, delivery, and tractor drivers",6
2000,California,"Truck, delivery, and tractor drivers",6
2001,California,"Truck, delivery, and tractor drivers",6
2002,California,"Truck, delivery, and tractor drivers",6
2003,California,"Truck, delivery, and tractor drivers",6
2004,California,"Truck, delivery, and tractor drivers",6
2005,California,"Truck, delivery, and tractor drivers",6
2006,California,"Truck, delivery, and tractor drivers",6
2007,California,"Truck, delivery, and tractor drivers",6
2008,California,"Truck, delivery, and tractor drivers",6
2009,California,"Truck, delivery, and tractor drivers",6
2010,California,"Truck, delivery, and tractor drivers",6
2011,California,"Truck, delivery, and tractor drivers",6
2012,California,"Truck, delivery, and tractor drivers",6
2013,California,"Truck, delivery, and tractor drivers",6
2014,California,"Truck, delivery, and tractor drivers",6
1978,Colorado,Secretaries,8
1979,Colorado,Secretaries,8
1980,Colorado,Secretaries,8
1981,Colorado,Secretaries,8
1982,Colorado,Secretaries,8
1983,Colorado,Secretaries,8
1984,Colorado,Secretaries,8
1985,Colorado,Secretaries,8
1986,Colorado,Secretaries,8
1987,Colorado,Secretaries,8
1988,Colorado,Secretaries,8
1989,Colorado,Secretaries,8
1990,Colorado,"Truck, delivery, and tractor drivers",8
1991,Colorado,"Truck, delivery, and tractor drivers",8
1992,Colorado,"Truck, delivery, and tractor drivers",8
1993,Colorado,"Truck, delivery, and tractor drivers",8
1994,Colorado,"Truck, delivery, and tractor drivers",8
1995,Colorado,"Truck, delivery, and tractor drivers",8
1996,Colorado,"Truck, delivery, and tractor drivers",8
1997,Colorado,"Truck, delivery, and tractor drivers",8
1998,Colorado,"Truck, delivery, and tractor drivers",8
1999,Colorado,"Truck, delivery, and tractor drivers",8
2000,Colorado,"Truck, delivery, and tractor drivers",8
2001,Colorado,"Truck, delivery, and tractor drivers",8
2002,Colorado,Computer systems analysts and computer scientists,8
2003,Colorado,"Cooks, variously defined",8
2004,Colorado,"Truck, delivery, and tractor drivers",8
2005,Colorado,"Truck, delivery, and tractor drivers",8
2006,Colorado,"Truck, delivery, and tractor drivers",8
2007,Colorado,"Truck, delivery, and tractor drivers",8
2008,Colorado,"Truck, delivery, and tractor drivers",8
2009,Colorado,"Truck, delivery, and tractor drivers",8
2010,Colorado,"Truck, delivery, and tractor drivers",8
2011,Colorado,"Truck, delivery, and tractor drivers",8
2012,Colorado,Computer software developers,8
2013,Colorado,Computer software developers,8
2014,Colorado,Computer software developers,8
1978,Connecticut,Secretaries,9
1979,Connecticut,"Machine operators, n.e.c",9
1980,Connecticut,Production supervisors or foremen,9
1981,Connecticut,Secretaries,9
1982,Connecticut,Secretaries,9
1983,Connecticut,Secretaries,9
1984,Connecticut,Secretaries,9
1985,Connecticut,Secretaries,9
1986,Connecticut,Secretaries,9
1987,Connecticut,Secretaries,9
1988,Connecticut,Secretaries,9
1989,Connecticut,Secretaries,9
1990,Connecticut,Secretaries,9
1991,Connecticut,Secretaries,9
1992,Connecticut,Secretaries,9
1993,Connecticut,Secretaries,9
1994,Connecticut,Secretaries,9
1995,Connecticut,"Truck, delivery, and tractor drivers",9
1996,Connecticut,"Truck, delivery, and tractor drivers",9
1997,Connecticut,Secretaries,9
1998,Connecticut,Bookkeepers and accounting and auditing clerks,9
1999,Connecticut,"Truck, delivery, and tractor drivers",9
2000,Connecticut,"Truck, delivery, and tractor drivers",9
2001,Connecticut,"Nursing aides, orderlies, and attendants",9
2002,Connecticut,"Nursing aides, orderlies, and attendants",9
2003,Connecticut,Secretaries,9
2004,Connecticut,Secretaries,9
2005,Connecticut,Secretaries,9
2006,Connecticut,Primary school teachers,9
2007,Connecticut,Primary school teachers,9
2008,Connecticut,Secretaries,9
2009,Connecticut,Secretaries,9
2010,Connecticut,Secretaries,9
2011,Connecticut,Secretaries,9
2012,Connecticut,Primary school teachers,9
2013,Connecticut,Primary school teachers,9
2014,Connecticut,Primary school teachers,9
1978,Delaware,Secretaries,10
1979,Delaware,Secretaries,10
1980,Delaware,Secretaries,10
1981,Delaware,Secretaries,10
1982,Delaware,Secretaries,10
1983,Delaware,Secretaries,10
1984,Delaware,Secretaries,10
1985,Delaware,Secretaries,10
1986,Delaware,Secretaries,10
1987,Delaware,Secretaries,10
1988,Delaware,Secretaries,10
1989,Delaware,Secretaries,10
1990,Delaware,Secretaries,10
1991,Delaware,Secretaries,10
1992,Delaware,"Truck, delivery, and tractor drivers",10
1993,Delaware,"Truck, delivery, and tractor drivers",10
1994,Delaware,"Truck, delivery, and tractor drivers",10
1995,Delaware,Secretaries,10
1996,Delaware,Secretaries,10
1997,Delaware,"Truck, delivery, and tractor drivers",10
1998,Delaware,"Truck, delivery, and tractor drivers",10
1999,Delaware,"Truck, delivery, and tractor drivers",10
2000,Delaware,"Truck, delivery, and tractor drivers",10
2001,Delaware,"Truck, delivery, and tractor drivers",10
2002,Delaware,"Truck, delivery, and tractor drivers",10
2003,Delaware,Secretaries,10
2004,Delaware,Secretaries,10
2005,Delaware,"Truck, delivery, and tractor drivers",10
2006,Delaware,Secretaries,10
2007,Delaware,Secretaries,10
2008,Delaware,Secretaries,10
2009,Delaware,Secretaries,10
2010,Delaware,Secretaries,10
2011,Delaware,"Truck, delivery, and tractor drivers",10
2012,Delaware,"Truck, delivery, and tractor drivers",10
2013,Delaware,Secretaries,10
2014,Delaware,Secretaries,10
1978,District of Columbia,Secretaries,11
1979,District of Columbia,Secretaries,11
1980,District of Columbia,Secretaries,11
1981,District of Columbia,Secretaries,11
1982,District of Columbia,Secretaries,11
1983,District of Columbia,Secretaries,11
1984,District of Columbia,Secretaries,11
1985,District of Columbia,Secretaries,11
1986,District of Columbia,Secretaries,11
1987,District of Columbia,Secretaries,11
1988,District of Columbia,Secretaries,11
1989,District of Columbia,Secretaries,11
1990,District of Columbia,Secretaries,11
1991,District of Columbia,Secretaries,11
1992,District of Columbia,Lawyers,11
1993,District of Columbia,Lawyers,11
1994,District of Columbia,Lawyers,11
1995,District of Columbia,Lawyers,11
1996,District of Columbia,Janitors,11
1997,District of Columbia,Secretaries,11
1998,District of Columbia,Secretaries,11
1999,District of Columbia,Lawyers,11
2000,District of Columbia,Lawyers,11
2001,District of Columbia,Lawyers,11
2002,District of Columbia,Lawyers,11
2003,District of Columbia,Lawyers,11
2004,District of Columbia,Lawyers,11
2005,District of Columbia,Lawyers,11
2006,District of Columbia,Lawyers,11
2007,District of Columbia,Lawyers,11
2008,District of Columbia,Lawyers,11
2009,District of Columbia,Lawyers,11
2010,District of Columbia,Lawyers,11
2011,District of Columbia,Lawyers,11
2012,District of Columbia,Lawyers,11
2013,District of Columbia,Lawyers,11
2014,District of Columbia,Lawyers,11
1978,Florida,Secretaries,12
1979,Florida,Secretaries,12
1980,Florida,Secretaries,12
1981,Florida,Secretaries,12
1982,Florida,Secretaries,12
1983,Florida,Secretaries,12
1984,Florida,Secretaries,12
1985,Florida,Secretaries,12
1986,Florida,Secretaries,12
1987,Florida,Secretaries,12
1988,Florida,Secretaries,12
1989,Florida,Secretaries,12
1990,Florida,Secretaries,12
1991,Florida,Secretaries,12
1992,Florida,Secretaries,12
1993,Florida,Secretaries,12
1994,Florida,"Truck, delivery, and tractor drivers",12
1995,Florida,"Truck, delivery, and tractor drivers",12
1996,Florida,"Truck, delivery, and tractor drivers",12
1997,Florida,"Truck, delivery, and tractor drivers",12
1998,Florida,"Truck, delivery, and tractor drivers",12
1999,Florida,"Truck, delivery, and tractor drivers",12
2000,Florida,"Truck, delivery, and tractor drivers",12
2001,Florida,"Truck, delivery, and tractor drivers",12
2002,Florida,"Truck, delivery, and tractor drivers",12
2003,Florida,"Truck, delivery, and tractor drivers",12
2004,Florida,"Truck, delivery, and tractor drivers",12
2005,Florida,"Truck, delivery, and tractor drivers",12
2006,Florida,"Truck, delivery, and tractor drivers",12
2007,Florida,"Truck, delivery, and tractor drivers",12
2008,Florida,"Truck, delivery, and tractor drivers",12
2009,Florida,"Truck, delivery, and tractor drivers",12
2010,Florida,Primary school teachers,12
2011,Florida,Registered nurses,12
2012,Florida,"Truck, delivery, and tractor drivers",12
2013,Florida,Primary school teachers,12
2014,Florida,Primary school teachers,12
1978,Georgia,Secretaries,13
1979,Georgia,Secretaries,13
1980,Georgia,Secretaries,13
1981,Georgia,Secretaries,13
1982,Georgia,Secretaries,13
1983,Georgia,Secretaries,13
1984,Georgia,Secretaries,13
1985,Georgia,"Truck, delivery, and tractor drivers",13
1986,Georgia,"Truck, delivery, and tractor drivers",13
1987,Georgia,Secretaries,13
1988,Georgia,Secretaries,13
1989,Georgia,Secretaries,13
1990,Georgia,"Truck, delivery, and tractor drivers",13
1991,Georgia,"Truck, delivery, and tractor drivers",13
1992,Georgia,"Truck, delivery, and tractor drivers",13
1993,Georgia,"Truck, delivery, and tractor drivers",13
1994,Georgia,"Cooks, variously defined",13
1995,Georgia,"Truck, delivery, and tractor drivers",13
1996,Georgia,"Truck, delivery, and tractor drivers",13
1997,Georgia,"Truck, delivery, and tractor drivers",13
1998,Georgia,"Truck, delivery, and tractor drivers",13
1999,Georgia,"Truck, delivery, and tractor drivers",13
2000,Georgia,"Truck, delivery, and tractor drivers",13
2001,Georgia,"Truck, delivery, and tractor drivers",13
2002,Georgia,"Truck, delivery, and tractor drivers",13
2003,Georgia,"Truck, delivery, and tractor drivers",13
2004,Georgia,"Truck, delivery, and tractor drivers",13
2005,Georgia,"Truck, delivery, and tractor drivers",13
2006,Georgia,Primary school teachers,13
2007,Georgia,"Truck, delivery, and tractor drivers",13
2008,Georgia,"Truck, delivery, and tractor drivers",13
2009,Georgia,"Truck, delivery, and tractor drivers",13
2010,Georgia,"Truck, delivery, and tractor drivers",13
2011,Georgia,"Truck, delivery, and tractor drivers",13
2012,Georgia,"Truck, delivery, and tractor drivers",13
2013,Georgia,"Truck, delivery, and tractor drivers",13
2014,Georgia,"Truck, delivery, and tractor drivers",13
1978,Hawaii,Bookkeepers and accounting and auditing clerks,15
1979,Hawaii,"Truck, delivery, and tractor drivers",15
1980,Hawaii,Secretaries,15
1981,Hawaii,Secretaries,15
1982,Hawaii,Secretaries,15
1983,Hawaii,Secretaries,15
1984,Hawaii,Secretaries,15
1985,Hawaii,Secretaries,15
1986,Hawaii,Secretaries,15
1987,Hawaii,Secretaries,15
1988,Hawaii,Secretaries,15
1989,Hawaii,Carpenters,15
1990,Hawaii,Secretaries,15
1991,Hawaii,Secretaries,15
1992,Hawaii,Secretaries,15
1993,Hawaii,Secretaries,15
1994,Hawaii,Secretaries,15
1995,Hawaii,Secretaries,15
1996,Hawaii,"Truck, delivery, and tractor drivers",15
1997,Hawaii,"Cooks, variously defined",15
1998,Hawaii,"Cooks, variously defined",15
1999,Hawaii,"Cooks, variously defined",15
2000,Hawaii,Managers of food-serving and lodging establishments,15
2001,Hawaii,Managers of food-serving and lodging establishments,15
2002,Hawaii,"Cooks, variously defined",15
2003,Hawaii,"Cooks, variously defined",15
2004,Hawaii,"Cooks, variously defined",15
2005,Hawaii,"Cooks, variously defined",15
2006,Hawaii,"Cooks, variously defined",15
2007,Hawaii,"Cooks, variously defined",15
2008,Hawaii,Retail sales clerks,15
2009,Hawaii,"Cooks, variously defined",15
2010,Hawaii,"Cooks, variously defined",15
2011,Hawaii,"Cooks, variously defined",15
2012,Hawaii,Primary school teachers,15
2013,Hawaii,"Cooks, variously defined",15
2014,Hawaii,"Cooks, variously defined",15
1978,Idaho,"Truck, delivery, and tractor drivers",16
1979,Idaho,"Truck, delivery, and tractor drivers",16
1980,Idaho,"Truck, delivery, and tractor drivers",16
1981,Idaho,Farmers (owners and tenants),16
1982,Idaho,"Truck, delivery, and tractor drivers",16
1983,Idaho,Secretaries,16
1984,Idaho,Secretaries,16
1985,Idaho,"Truck, delivery, and tractor drivers",16
1986,Idaho,"Truck, delivery, and tractor drivers",16
1987,Idaho,Secretaries,16
1988,Idaho,Secretaries,16
1989,Idaho,Farm workers,16
1990,Idaho,Farm workers,16
1991,Idaho,"Truck, delivery, and tractor drivers",16
1992,Idaho,"Truck, delivery, and tractor drivers",16
1993,Idaho,"Truck, delivery, and tractor drivers",16
1994,Idaho,"Truck, delivery, and tractor drivers",16
1995,Idaho,"Truck, delivery, and tractor drivers",16
1996,Idaho,"Truck, delivery, and tractor drivers",16
1997,Idaho,"Truck, delivery, and tractor drivers",16
1998,Idaho,"Truck, delivery, and tractor drivers",16
1999,Idaho,"Truck, delivery, and tractor drivers",16
2000,Idaho,"Truck, delivery, and tractor drivers",16
2001,Idaho,"Truck, delivery, and tractor drivers",16
2002,Idaho,"Truck, delivery, and tractor drivers",16
2003,Idaho,"Truck, delivery, and tractor drivers",16
2004,Idaho,"Truck, delivery, and tractor drivers",16
2005,Idaho,"Truck, delivery, and tractor drivers",16
2006,Idaho,"Truck, delivery, and tractor drivers",16
2007,Idaho,"Truck, delivery, and tractor drivers",16
2008,Idaho,"Truck, delivery, and tractor drivers",16
2009,Idaho,"Truck, delivery, and tractor drivers",16
2010,Idaho,"Truck, delivery, and tractor drivers",16
2011,Idaho,"Truck, delivery, and tractor drivers",16
2012,Idaho,"Truck, delivery, and tractor drivers",16
2013,Idaho,"Truck, delivery, and tractor drivers",16
2014,Idaho,"Truck, delivery, and tractor drivers",16
1978,Illinois,Secretaries,17
1979,Illinois,"Machine operators, n.e.c",17
1980,Illinois,Secretaries,17
1981,Illinois,"Machine operators, n.e.c",17
1982,Illinois,Secretaries,17
1983,Illinois,Secretaries,17
1984,Illinois,Secretaries,17
1985,Illinois,Secretaries,17
1986,Illinois,Secretaries,17
1987,Illinois,Secretaries,17
1988,Illinois,Secretaries,17
1989,Illinois,Secretaries,17
1990,Illinois,"Truck, delivery, and tractor drivers",17
1991,Illinois,"Truck, delivery, and tractor drivers",17
1992,Illinois,Secretaries,17
1993,Illinois,Secretaries,17
1994,Illinois,Secretaries,17
1995,Illinois,Secretaries,17
1996,Illinois,"Truck, delivery, and tractor drivers",17
1997,Illinois,"Truck, delivery, and tractor drivers",17
1998,Illinois,"Truck, delivery, and tractor drivers",17
1999,Illinois,"Truck, delivery, and tractor drivers",17
2000,Illinois,"Truck, delivery, and tractor drivers",17
2001,Illinois,"Truck, delivery, and tractor drivers",17
2002,Illinois,"Truck, delivery, and tractor drivers",17
2003,Illinois,"Truck, delivery, and tractor drivers",17
2004,Illinois,"Truck, delivery, and tractor drivers",17
2005,Illinois,"Truck, delivery, and tractor drivers",17
2006,Illinois,"Truck, delivery, and tractor drivers",17
2007,Illinois,"Truck, delivery, and tractor drivers",17
2008,Illinois,"Truck, delivery, and tractor drivers",17
2009,Illinois,"Truck, delivery, and tractor drivers",17
2010,Illinois,"Truck, delivery, and tractor drivers",17
2011,Illinois,"Truck, delivery, and tractor drivers",17
2012,Illinois,"Truck, delivery, and tractor drivers",17
2013,Illinois,"Truck, delivery, and tractor drivers",17
2014,Illinois,"Truck, delivery, and tractor drivers",17
1978,Indiana,Assemblers of electrical equipment,18
1979,Indiana,Assemblers of electrical equipment,18
1980,Indiana,"Machine operators, n.e.c",18
1981,Indiana,"Machine operators, n.e.c",18
1982,Indiana,"Machine operators, n.e.c",18
1983,Indiana,"Truck, delivery, and tractor drivers",18
1984,Indiana,Assemblers of electrical equipment,18
1985,Indiana,"Truck, delivery, and tractor drivers",18
1986,Indiana,"Truck, delivery, and tractor drivers",18
1987,Indiana,"Truck, delivery, and tractor drivers",18
1988,Indiana,"Truck, delivery, and tractor drivers",18
1989,Indiana,"Truck, delivery, and tractor drivers",18
1990,Indiana,"Truck, delivery, and tractor drivers",18
1991,Indiana,Assemblers of electrical equipment,18
1992,Indiana,"Truck, delivery, and tractor drivers",18
1993,Indiana,"Truck, delivery, and tractor drivers",18
1994,Indiana,"Truck, delivery, and tractor drivers",18
1995,Indiana,"Truck, delivery, and tractor drivers",18
1996,Indiana,"Truck, delivery, and tractor drivers",18
1997,Indiana,"Truck, delivery, and tractor drivers",18
1998,Indiana,"Truck, delivery, and tractor drivers",18
1999,Indiana,"Truck, delivery, and tractor drivers",18
2000,Indiana,"Truck, delivery, and tractor drivers",18
2001,Indiana,"Truck, delivery, and tractor drivers",18
2002,Indiana,"Truck, delivery, and tractor drivers",18
2003,Indiana,"Truck, delivery, and tractor drivers",18
2004,Indiana,"Truck, delivery, and tractor drivers",18
2005,Indiana,"Truck, delivery, and tractor drivers",18
2006,Indiana,"Truck, delivery, and tractor drivers",18
2007,Indiana,"Truck, delivery, and tractor drivers",18
2008,Indiana,"Truck, delivery, and tractor drivers",18
2009,Indiana,"Truck, delivery, and tractor drivers",18
2010,Indiana,"Truck, delivery, and tractor drivers",18
2011,Indiana,"Truck, delivery, and tractor drivers",18
2012,Indiana,"Truck, delivery, and tractor drivers",18
2013,Indiana,"Truck, delivery, and tractor drivers",18
2014,Indiana,"Truck, delivery, and tractor drivers",18
1978,Iowa,Farmers (owners and tenants),19
1979,Iowa,Farmers (owners and tenants),19
1980,Iowa,Farmers (owners and tenants),19
1981,Iowa,Farmers (owners and tenants),19
1982,Iowa,Farmers (owners and tenants),19
1983,Iowa,Farmers (owners and tenants),19
1984,Iowa,Farmers (owners and tenants),19
1985,Iowa,Farmers (owners and tenants),19
1986,Iowa,Farmers (owners and tenants),19
1987,Iowa,Farmers (owners and tenants),19
1988,Iowa,Farmers (owners and tenants),19
1989,Iowa,Farmers (owners and tenants),19
1990,Iowa,Farmers (owners and tenants),19
1991,Iowa,Farmers (owners and tenants),19
1992,Iowa,Farmers (owners and tenants),19
1993,Iowa,Farmers (owners and tenants),19
1994,Iowa,Farmers (owners and tenants),19
1995,Iowa,Farmers (owners and tenants),19
1996,Iowa,Farmers (owners and tenants),19
1997,Iowa,"Truck, delivery, and tractor drivers",19
1998,Iowa,"Truck, delivery, and tractor drivers",19
1999,Iowa,"Truck, delivery, and tractor drivers",19
2000,Iowa,"Truck, delivery, and tractor drivers",19
2001,Iowa,"Truck, delivery, and tractor drivers",19
2002,Iowa,"Truck, delivery, and tractor drivers",19
2003,Iowa,"Truck, delivery, and tractor drivers",19
2004,Iowa,"Truck, delivery, and tractor drivers",19
2005,Iowa,"Truck, delivery, and tractor drivers",19
2006,Iowa,"Truck, delivery, and tractor drivers",19
2007,Iowa,"Truck, delivery, and tractor drivers",19
2008,Iowa,"Truck, delivery, and tractor drivers",19
2009,Iowa,"Truck, delivery, and tractor drivers",19
2010,Iowa,"Truck, delivery, and tractor drivers",19
2011,Iowa,"Truck, delivery, and tractor drivers",19
2012,Iowa,"Truck, delivery, and tractor drivers",19
2013,Iowa,"Truck, delivery, and tractor drivers",19
2014,Iowa,"Truck, delivery, and tractor drivers",19
1978,Kansas,Farmers (owners and tenants),20
1979,Kansas,Farmers (owners and tenants),20
1980,Kansas,Farmers (owners and tenants),20
1981,Kansas,Farmers (owners and tenants),20
1982,Kansas,Farmers (owners and tenants),20
1983,Kansas,Farmers (owners and tenants),20
1984,Kansas,Farmers (owners and tenants),20
1985,Kansas,Farmers (owners and tenants),20
1986,Kansas,Farmers (owners and tenants),20
1987,Kansas,Farmers (owners and tenants),20
1988,Kansas,Secretaries,20
1989,Kansas,Secretaries,20
1990,Kansas,Farmers (owners and tenants),20
1991,Kansas,"Truck, delivery, and tractor drivers",20
1992,Kansas,Secretaries,20
1993,Kansas,Farmers (owners and tenants),20
1994,Kansas,Farmers (owners and tenants),20
1995,Kansas,Farmers (owners and tenants),20
1996,Kansas,Farmers (owners and tenants),20
1997,Kansas,Secretaries,20
1998,Kansas,Farmers (owners and tenants),20
1999,Kansas,Janitors,20
2000,Kansas,"Truck, delivery, and tractor drivers",20
2001,Kansas,"Truck, delivery, and tractor drivers",20
2002,Kansas,"Truck, delivery, and tractor drivers",20
2003,Kansas,"Truck, delivery, and tractor drivers",20
2004,Kansas,"Truck, delivery, and tractor drivers",20
2005,Kansas,"Truck, delivery, and tractor drivers",20
2006,Kansas,"Truck, delivery, and tractor drivers",20
2007,Kansas,"Truck, delivery, and tractor drivers",20
2008,Kansas,"Truck, delivery, and tractor drivers",20
2009,Kansas,Primary school teachers,20
2010,Kansas,Primary school teachers,20
2011,Kansas,Primary school teachers,20
2012,Kansas,Primary school teachers,20
2013,Kansas,"Truck, delivery, and tractor drivers",20
